title,url,event_id,description
Athletics PLG,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1334726514,1334726514,"Thursday, January 22, 2026, 2 - 3:30pm Woodruff PE Center small class room"
WBB Pregame Meal,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1338630752,1338630752,"Friday, January 23, 2026, 5 - 6pm Woodruff PE Center Large class room"
Team Tryouts,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1352958179,1352958179,"Saturday, January 24, 2026, 4 - 6pm Woodruff PE Center multipurpose room, wrestling,aerobics,yoga,martial arts"
PE 112 1 3063,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1337685448,1337685448,"Tuesday, January 20, 2026, 1 - 2:15pm Woodruff PE Center Pool shallow end, Woodruff PE Center Pool lap lane, Woodruff PE Center Pool diving well / deep end, Woodruff PE Center Pool"
PE 189 1 3918,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1337683727,1337683727,"Wednesday, January 21, 2026, 2:30 - 3:45pm Woodruff PE Center multipurpose room, wrestling,aerobics,yoga,martial arts"
PE 194 2 3933,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1337683730,1337683730,"Thursday, January 22, 2026, 2:30 - 3:45pm Woodruff PE Center multipurpose room, wrestling,aerobics,yoga,martial arts"
WBB v Case,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1292105742,1292105742,"Friday, January 23, 2026, 5 - 10pm Woodruff PE Center Court #2, Woodruff PE Center Court #1, Woodruff PE Center Court #3, Woodruff PE Center Court #4, Woodruff PE Center Arena Court"
Team Tryouts,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1352962187,1352962187,"Saturday, January 24, 2026, 4 - 6pm Woodruff PE Center multipurpose room, wrestling,aerobics,yoga,martial arts"
PE 130 1 3889,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1337684336,1337684336,"Tuesday, January 20, 2026, 1 - 2:15pm Woodruff PE Center Aerobics Room"
DANC 150R 1 3043,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1344802498,1344802498,"Wednesday, January 21, 2026, 2:30 - 3:45pm Woodruff PE Center - Dance Studio"
Swim/Dive Practice,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1290434098,1290434098,"Thursday, January 22, 2026, 2:30 - 5:30pm Woodruff PE Center Pool shallow end, Woodruff PE Center Pool lap lane, Woodruff PE Center Pool diving well / deep end, Woodruff PE Center Pool"
CS Men's LAX,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1342979779,1342979779,"Friday, January 23, 2026, 6 - 8pm Woodruff PE Center Candler Field #3, Woodruff PE Center Candler Field #4"
PE 194 2 3933,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1337683725,1337683725,"Tuesday, January 20, 2026, 2:30 - 3:45pm Woodruff PE Center multipurpose room, wrestling,aerobics,yoga,martial arts"
